Name,Position,Height,Age,Draft,Nationality,All_Star,Team
Willie Cauley-Stein,Center,7' and Over,25-29,Round 1,Domestic,All_Star_No,Houston Rockets
Julian Champagnie,Forward,"6'5"" - 6'11""",18-24,Undrafted,Domestic,All_Star_No,San Antonio Spurs
Max Christie,Forward,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Los Angeles Lakers
Josh Christopher,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Houston Rockets
Brandon Clarke,Forward,"6'5"" - 6'11""",25-29,Round 1,International,All_Star_No,Memphis Grizzlies
Jordan Clarkson,Guard,"6' - 6'5""",30-34,Round 2,Domestic,All_Star_No,Utah Jazz
Amir Coffey,Forward,"6'5"" - 6'11""",25-29,Undrafted,Domestic,All_Star_No,Los Angeles Clippers
Zach Collins,Center,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,San Antonio Spurs
Mike Conley,Guard,"6' - 6'5""",35+,Round 1,Domestic,All_Star_No,Minnesota Timberwolves
Robert Covington,Forward,"6'5"" - 6'11""",30-34,Undrafted,Domestic,All_Star_No,Los Angeles Clippers
Torrey Craig,Guard,"6'5"" - 6'11""",30-34,Undrafted,Domestic,All_Star_No,Phoenix Suns
Stephen Curry,Guard,"6' - 6'5""",35+,Round 1,Domestic,All_Star_Yes,Golden State Warriors
Dyson Daniels,Guard,"6'5"" - 6'11""",18-24,Round 1,International,All_Star_No,New Orleans Pelicans
Anthony Davis,Forward,"6'5"" - 6'11""",30-34,Round 1,Domestic,All_Star_No,Los Angeles Lakers
Terence Davis,Forward,"6' - 6'5""",25-29,Undrafted,Domestic,All_Star_No,Sacramento Kings
Darius Days,Forward,"6'5"" - 6'11""",18-24,Undrafted,Domestic,All_Star_No,Houston Rockets
Matt Dellavedova,Guard,"6' - 6'5""",30-34,Undrafted,International,All_Star_No,Sacramento Kings
Donte DiVincenzo,Guard,"6' - 6'5""",25-29,Round 1,Domestic,All_Star_No,Golden State Warriors
Moussa Diabate,Forward,"6'5"" - 6'11""",18-24,Round 2,International,All_Star_No,Los Angeles Clippers
Gorgui Dieng,Center,"6'5"" - 6'11""",30-34,Round 1,International,All_Star_No,San Antonio Spurs
Ousmane Dieng,Guard,"6'5"" - 6'11""",18-24,Round 1,International,All_Star_No,Oklahoma City Thunder
Luka Doncic,Forward,"6'5"" - 6'11""",18-24,Round 1,International,All_Star_Yes,Dallas Mavericks
Luguentz Dort,Guard,"6' - 6'5""",18-24,Undrafted,International,All_Star_No,Oklahoma City Thunder
P.J. Dozier,Guard,"6'5"" - 6'11""",25-29,Undrafted,Domestic,All_Star_No,Sacramento Kings
Kris Dunn,Guard,"6' - 6'5""",25-29,Round 1,Domestic,All_Star_No,Utah Jazz
Kevin Durant,Forward,"6'5"" - 6'11""",30-34,Round 1,Domestic,All_Star_Yes,Phoenix Suns
Tari Eason,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Houston Rockets
Anthony Edwards,Forward,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_Yes,Minnesota Timberwolves
Kessler Edwards,Guard,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Sacramento Kings
Keon Ellis,Forward,"6' - 6'5""",18-24,Undrafted,Domestic,All_Star_No,Sacramento Kings
Drew Eubanks,Center,"6'5"" - 6'11""",25-29,Undrafted,Domestic,All_Star_No,Portland Trail Blazers
Simone Fontecchio,Forward,"6'5"" - 6'11""",25-29,Undrafted,International,All_Star_No,Utah Jazz
De'Aaron Fox,Guard,"6' - 6'5""",25-29,Round 1,Domestic,All_Star_Yes,Sacramento Kings
Wenyen Gabriel,Forward,"6'5"" - 6'11""",25-29,Undrafted,International,All_Star_No,Los Angeles Lakers
Usman Garuba,Center,"6'5"" - 6'11""",18-24,Round 1,International,All_Star_No,Houston Rockets
Luka Garza,Center,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Minnesota Timberwolves
Rudy Gay,Forward,"6'5"" - 6'11""",35+,Round 1,Domestic,All_Star_No,Utah Jazz
Paul George,Guard,"6'5"" - 6'11""",30-34,Round 1,Domestic,All_Star_Yes,Los Angeles Clippers
Josh Giddey,Guard,"6'5"" - 6'11""",18-24,Round 1,International,All_Star_No,Oklahoma City Thunder
Shai Gilgeous-Alexander,Guard,"6'5"" - 6'11""",18-24,Round 1,International,All_Star_Yes,Oklahoma City Thunder
Collin Gillespie,Guard,"6' - 6'5""",18-24,Undrafted,Domestic,All_Star_No,Denver Nuggets
Jacob Gilyard,Guard,Under 6',18-24,Undrafted,Domestic,All_Star_No,Memphis Grizzlies
Rudy Gobert,Center,7' and Over,30-34,Round 1,International,All_Star_No,Minnesota Timberwolves
Aaron Gordon,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,Denver Nuggets
Eric Gordon,Guard,"6' - 6'5""",30-34,Round 1,Domestic,All_Star_No,Los Angeles Clippers
Devonte' Graham,Guard,"6' - 6'5""",25-29,Round 2,Domestic,All_Star_No,San Antonio Spurs
Jerami Grant,Forward,"6'5"" - 6'11""",25-29,Round 2,Domestic,All_Star_No,Portland Trail Blazers
Draymond Green,Forward,"6'5"" - 6'11""",30-34,Round 2,Domestic,All_Star_No,Golden State Warriors
JaMychal Green,Forward,"6'5"" - 6'11""",30-34,Undrafted,Domestic,All_Star_No,Golden State Warriors
Jalen Green,Guard,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Houston Rockets
Jeff Green,Forward,"6'5"" - 6'11""",35+,Round 1,Domestic,All_Star_No,Denver Nuggets
Josh Green,Guard,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Dallas Mavericks
Rui Hachimura,Forward,"6'5"" - 6'11""",25-29,Round 1,International,All_Star_No,Los Angeles Lakers
Tim Hardaway Jr.,Guard,"6' - 6'5""",30-34,Round 1,Domestic,All_Star_No,Dallas Mavericks
Jaden Hardy,Guard,"6' - 6'5""",18-24,Round 2,Domestic,All_Star_No,Dallas Mavericks
Shaquille Harrison,Guard,"6' - 6'5""",25-29,Undrafted,Domestic,All_Star_No,Los Angeles Lakers
Jaxson Hayes,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,New Orleans Pelicans
Willy Hernangomez,Center,"6'5"" - 6'11""",25-29,Round 2,International,All_Star_No,New Orleans Pelicans
Justin Holiday,Forward,"6'5"" - 6'11""",30-34,Undrafted,Domestic,All_Star_No,Dallas Mavericks
Richaun Holmes,Forward,"6'5"" - 6'11""",25-29,Round 2,Domestic,All_Star_No,Sacramento Kings
Chet Holmgren,Center,7' and Over,18-24,Round 1,Domestic,All_Star_No,Oklahoma City Thunder
Talen Horton-Tucker,Forward,"6' - 6'5""",18-24,Round 2,Domestic,All_Star_No,Utah Jazz
Trevor Hudgins,Guard,"6' - 6'5""",18-24,Undrafted,Domestic,All_Star_No,Houston Rockets
Kevin Huerter,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Sacramento Kings
Bones Hyland,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Los Angeles Clippers
Andre Iguodala,Forward,"6'5"" - 6'11""",35+,Round 1,Domestic,All_Star_No,Golden State Warriors
Brandon Ingram,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,New Orleans Pelicans
Kyrie Irving,Guard,"6' - 6'5""",30-34,Round 1,Domestic,All_Star_Yes,Dallas Mavericks
"Jaren Jackson, Jr.",Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_Yes,Memphis Grizzlies
Reggie Jackson,Guard,"6' - 6'5""",30-34,Round 1,Domestic,All_Star_No,Denver Nuggets
LeBron James,Forward,"6'5"" - 6'11""",35+,Round 1,Domestic,All_Star_Yes,Los Angeles Lakers
Ty Jerome,Guard,"6' - 6'5""",25-29,Round 1,Domestic,All_Star_No,Golden State Warriors
Isaiah Joe,Guard,"6' - 6'5""",18-24,Round 2,Domestic,All_Star_No,Oklahoma City Thunder
Keldon Johnson,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,San Antonio Spurs
Keon Johnson,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Portland Trail Blazers
Nikola Jokic,Center,7' and Over,25-29,Round 2,International,All_Star_Yes,Denver Nuggets
Damian Jones,Forward,7' and Over,25-29,Round 1,Domestic,All_Star_No,Utah Jazz
Herb Jones,Forward,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,New Orleans Pelicans
Tre Jones,Guard,"6' - 6'5""",18-24,Round 2,Domestic,All_Star_No,San Antonio Spurs
Tyus Jones,Guard,"6' - 6'5""",25-29,Round 1,Domestic,All_Star_No,Memphis Grizzlies
DeAndre Jordan,Center,"6'5"" - 6'11""",30-34,Round 2,Domestic,All_Star_No,Denver Nuggets
Johnny Juzang,Guard,"6'5"" - 6'11""",18-24,Undrafted,Domestic,All_Star_No,Utah Jazz
Frank Kaminsky,Forward,7' and Over,30-34,Round 1,Domestic,All_Star_No,Houston Rockets
Luke Kennard,Guard,"6' - 6'5""",25-29,Round 1,Domestic,All_Star_No,Memphis Grizzlies
Walker Kessler,Center,7' and Over,18-24,Round 1,Domestic,All_Star_No,Utah Jazz
Maxi Kleber,Forward,"6'5"" - 6'11""",30-34,Undrafted,International,All_Star_No,Dallas Mavericks
Nathan Knight,Forward,"6'5"" - 6'11""",25-29,Undrafted,Domestic,All_Star_No,Minnesota Timberwolves
Kevin Knox,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Portland Trail Blazers
John Konchar,Guard,"6' - 6'5""",25-29,Undrafted,Domestic,All_Star_No,Memphis Grizzlies
Jonathan Kuminga,Forward,"6'5"" - 6'11""",18-24,Round 1,International,All_Star_No,Golden State Warriors
Jake LaRavia,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Memphis Grizzlies
Anthony Lamb,Forward,"6'5"" - 6'11""",25-29,Undrafted,Domestic,All_Star_No,Golden State Warriors
Jock Landale,Center,"6'5"" - 6'11""",25-29,Undrafted,International,All_Star_No,Phoenix Suns
Romeo Langford,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,San Antonio Spurs
A.J. Lawson,Forward,"6'5"" - 6'11""",18-24,Undrafted,International,All_Star_No,Dallas Mavericks
Damion Lee,Guard,"6' - 6'5""",30-34,Undrafted,Domestic,All_Star_No,Phoenix Suns
Saben Lee,Guard,"6' - 6'5""",18-24,Round 2,Domestic,All_Star_No,Phoenix Suns
Alex Len,Center,7' and Over,25-29,Round 1,International,All_Star_No,Sacramento Kings
Kawhi Leonard,Forward,"6'5"" - 6'11""",30-34,Round 1,Domestic,All_Star_No,Los Angeles Clippers
"Kira Lewis, Jr.",Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,New Orleans Pelicans
E.J. Liddell,Forward,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,New Orleans Pelicans
Damian Lillard,Guard,"6' - 6'5""",30-34,Round 1,Domestic,All_Star_Yes,Portland Trail Blazers
Nassir Little,Forward,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Portland Trail Blazers
"Kenny Lofton, Jr.",Forward,"6'5"" - 6'11""",18-24,Undrafted,Domestic,All_Star_No,Memphis Grizzlies
Kevon Looney,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,Golden State Warriors
Trey Lyles,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,Sacramento Kings
Sandro Mamukelashvili,Forward,"6'5"" - 6'11""",18-24,Round 2,International,All_Star_No,San Antonio Spurs
Terance Mann,Guard,"6' - 6'5""",25-29,Round 2,Domestic,All_Star_No,Los Angeles Clippers
Tre Mann,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Oklahoma City Thunder
Boban Marjanovic,Center,7' and Over,30-34,Undrafted,International,All_Star_No,Houston Rockets
Lauri Markkanen,Forward,7' and Over,25-29,Round 1,International,All_Star_Yes,Utah Jazz
Naji Marshall,Forward,"6'5"" - 6'11""",25-29,Undrafted,Domestic,All_Star_No,New Orleans Pelicans
K.J. Martin,Forward,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Houston Rockets
C.J. McCollum,Guard,"6' - 6'5""",30-34,Round 1,Domestic,All_Star_No,New Orleans Pelicans
Jaden McDaniels,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Minnesota Timberwolves
Doug McDermott,Forward,"6'5"" - 6'11""",30-34,Round 1,Domestic,All_Star_No,San Antonio Spurs
JaVale McGee,Center,7' and Over,35+,Round 1,Domestic,All_Star_No,Dallas Mavericks
Jordan McLaughlin,Guard,Under 6',25-29,Undrafted,Domestic,All_Star_No,Minnesota Timberwolves
Chimezie Metu,Forward,"6'5"" - 6'11""",25-29,Round 2,Domestic,All_Star_No,Sacramento Kings
Josh Minott,Forward,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Minnesota Timberwolves
Davion Mitchell,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Sacramento Kings
Malik Monk,Guard,"6' - 6'5""",25-29,Round 1,Domestic,All_Star_No,Sacramento Kings
Moses Moody,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Golden State Warriors
Xavier Moon,Guard,"6' - 6'5""",25-29,Undrafted,Domestic,All_Star_No,Los Angeles Clippers
"Wendell Moore, Jr.",Forward,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Minnesota Timberwolves
Ja Morant,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_Yes,Memphis Grizzlies
Marcus Morris,Forward,"6'5"" - 6'11""",30-34,Round 1,Domestic,All_Star_No,Los Angeles Clippers
Markieff Morris,Forward,"6'5"" - 6'11""",30-34,Round 1,Domestic,All_Star_No,Dallas Mavericks
Trey Murphy III,Guard,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,New Orleans Pelicans
Jamal Murray,Guard,"6' - 6'5""",25-29,Round 1,International,All_Star_No,Denver Nuggets
Keegan Murray,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Sacramento Kings
"Larry Nance, Jr.",Forward,"6'5"" - 6'11""",30-34,Round 1,Domestic,All_Star_No,New Orleans Pelicans
Daishen Nix,Guard,"6' - 6'5""",18-24,Undrafted,Domestic,All_Star_No,Houston Rockets
Zeke Nnaji,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Denver Nuggets
Jaylen Nowell,Guard,"6' - 6'5""",18-24,Round 2,Domestic,All_Star_No,Minnesota Timberwolves
Frank Ntilikina,Guard,"6' - 6'5""",18-24,Round 1,International,All_Star_No,Dallas Mavericks
Jusuf Nurkic,Center,7' and Over,25-29,Round 1,International,All_Star_No,Portland Trail Blazers
Josh Okogie,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Phoenix Suns
Kelly Olynyk,Center,"6'5"" - 6'11""",30-34,Round 1,International,All_Star_No,Utah Jazz
Chris Paul,Guard,"6' - 6'5""",35+,Round 1,Domestic,All_Star_No,Phoenix Suns
Cameron Payne,Guard,"6' - 6'5""",25-29,Round 1,Domestic,All_Star_No,Phoenix Suns
Gary Payton II,Guard,"6' - 6'5""",30-34,Undrafted,Domestic,All_Star_No,Golden State Warriors
Theo Pinson,Guard,"6' - 6'5""",25-29,Undrafted,Domestic,All_Star_No,Dallas Mavericks
"Scotty Pippen, Jr.",Guard,"6' - 6'5""",18-24,Undrafted,Domestic,All_Star_No,Los Angeles Lakers
Mason Plumlee,Forward,"6'5"" - 6'11""",30-34,Round 1,Domestic,All_Star_No,Los Angeles Clippers
Aleksej Pokusevski,Center,7' and Over,18-24,Round 1,International,All_Star_No,Oklahoma City Thunder
Jordan Poole,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Golden State Warriors
"Kevin Porter, Jr.",Forward,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Houston Rockets
"Michael Porter, Jr.",Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Denver Nuggets
Micah Potter,Center,"6'5"" - 6'11""",25-29,Undrafted,Domestic,All_Star_No,Utah Jazz
Dwight Powell,Forward,"6'5"" - 6'11""",30-34,Round 2,International,All_Star_No,Dallas Mavericks
Norman Powell,Guard,"6' - 6'5""",25-29,Round 2,Domestic,All_Star_No,Los Angeles Clippers
Jason Preston,Guard,"6' - 6'5""",18-24,Round 2,Domestic,All_Star_No,Los Angeles Clippers
Taurean Prince,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,Minnesota Timberwolves
Neemias Queta,Center,7' and Over,18-24,Round 2,International,All_Star_No,Sacramento Kings
Lester Quinones,Guard,"6' - 6'5""",18-24,Undrafted,Domestic,All_Star_No,Golden State Warriors
Austin Reaves,Guard,"6' - 6'5""",18-24,Undrafted,Domestic,All_Star_No,Los Angeles Lakers
Cam Reddish,Guard,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Portland Trail Blazers
Naz Reid,Center,"6'5"" - 6'11""",18-24,Undrafted,Domestic,All_Star_No,Minnesota Timberwolves
Josh Richardson,Guard,"6' - 6'5""",25-29,Round 2,Domestic,All_Star_No,New Orleans Pelicans
Austin Rivers,Guard,"6' - 6'5""",30-34,Round 1,Domestic,All_Star_No,Minnesota Timberwolves
Jeremiah Robinson-Earl,Forward,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Oklahoma City Thunder
David Roddy,Forward,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Memphis Grizzlies
Ryan Rollins,Guard,"6' - 6'5""",18-24,Round 2,Domestic,All_Star_No,Golden State Warriors
Terrence Ross,Forward,"6'5"" - 6'11""",30-34,Round 1,Domestic,All_Star_No,Phoenix Suns
D'Angelo Russell,Guard,"6' - 6'5""",25-29,Round 1,Domestic,All_Star_No,Los Angeles Lakers
Matt Ryan,Forward,"6'5"" - 6'11""",25-29,Undrafted,Domestic,All_Star_No,Minnesota Timberwolves
Domantas Sabonis,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_Yes,Sacramento Kings
Luka Samanic,Forward,"6'5"" - 6'11""",18-24,Round 1,International,All_Star_No,Utah Jazz
Dario Saric,Forward,"6'5"" - 6'11""",25-29,Round 1,International,All_Star_No,Oklahoma City Thunder
Olivier Sarr,Center,7' and Over,18-24,Undrafted,International,All_Star_No,Oklahoma City Thunder
Dennis Schroder,Guard,"6' - 6'5""",25-29,Round 1,International,All_Star_No,Los Angeles Lakers
Dereon Seabron,Guard,"6'5"" - 6'11""",18-24,Undrafted,Domestic,All_Star_No,New Orleans Pelicans
Alperen Sengun,Center,"6'5"" - 6'11""",18-24,Round 1,International,All_Star_No,Houston Rockets
Collin Sexton,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Utah Jazz
Landry Shamet,Guard,"6' - 6'5""",25-29,Round 1,Domestic,All_Star_No,Phoenix Suns
Shaedon Sharpe,Forward,"6'5"" - 6'11""",18-24,Round 1,International,All_Star_No,Portland Trail Blazers
Anfernee Simons,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Portland Trail Blazers
Ish Smith,Guard,"6' - 6'5""",30-34,Undrafted,Domestic,All_Star_No,Denver Nuggets
"Jabari Smith, Jr.",Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Houston Rockets
Jeremy Sochan,Guard,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,San Antonio Spurs
Cole Swider,Forward,"6'5"" - 6'11""",25-29,Undrafted,Domestic,All_Star_No,Los Angeles Lakers
Jae'sean Tate,Forward,"6' - 6'5""",25-29,Undrafted,Domestic,All_Star_No,Houston Rockets
Garrett Temple,Guard,"6' - 6'5""",35+,Undrafted,Domestic,All_Star_No,New Orleans Pelicans
Klay Thompson,Guard,"6'5"" - 6'11""",30-34,Round 1,Domestic,All_Star_No,Golden State Warriors
Tristan Thompson,Forward,"6'5"" - 6'11""",30-34,Round 1,International,All_Star_No,Los Angeles Lakers
Matisse Thybulle,Forward,"6' - 6'5""",25-29,Round 1,Domestic,All_Star_No,Portland Trail Blazers
"Xavier Tillman, Sr.",Forward,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Memphis Grizzlies
Juan Toscano-Anderson,Forward,"6'5"" - 6'11""",30-34,Undrafted,Domestic,All_Star_No,Utah Jazz
Karl-Anthony Towns,Center,7' and Over,25-29,Round 1,Domestic,All_Star_No,Minnesota Timberwolves
Jonas Valanciunas,Center,7' and Over,30-34,Round 1,International,All_Star_No,New Orleans Pelicans
Jarred Vanderbilt,Forward,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Los Angeles Lakers
Devin Vassell,Guard,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,San Antonio Spurs
Ish Wainright,Guard,"6' - 6'5""",25-29,Undrafted,Domestic,All_Star_No,Phoenix Suns
Jabari Walker,Forward,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Portland Trail Blazers
Lonnie Walker,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Los Angeles Lakers
T.J. Warren,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,Phoenix Suns
"TyTy Washington, Jr.",Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Houston Rockets
Lindy Waters III,Guard,"6'5"" - 6'11""",25-29,Undrafted,Domestic,All_Star_No,Oklahoma City Thunder
Trendon Watford,Forward,"6'5"" - 6'11""",18-24,Undrafted,Domestic,All_Star_No,Portland Trail Blazers
Peyton Watson,Guard,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Denver Nuggets
Blake Wesley,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,San Antonio Spurs
Russell Westbrook,Guard,"6' - 6'5""",30-34,Round 1,Domestic,All_Star_No,Los Angeles Clippers
Jack White,Forward,"6'5"" - 6'11""",25-29,Undrafted,International,All_Star_No,Denver Nuggets
Aaron Wiggins,Forward,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Oklahoma City Thunder
Andrew Wiggins,Forward,"6'5"" - 6'11""",25-29,Round 1,International,All_Star_No,Golden State Warriors
Jalen Williams,Guard,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Oklahoma City Thunder
Jaylin Williams,Center,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Oklahoma City Thunder
"Jeenathan Williams, Jr.",Guard,"6' - 6'5""",18-24,Undrafted,Domestic,All_Star_No,Portland Trail Blazers
"Vincent Williams, Jr.",Forward,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Memphis Grizzlies
Kenrich Williams,Forward,"6'5"" - 6'11""",25-29,Undrafted,Domestic,All_Star_No,Oklahoma City Thunder
Ziaire Williams,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Memphis Grizzlies
Zion Williamson,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_Yes,New Orleans Pelicans
Justise Winslow,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,Portland Trail Blazers
Christian Wood,Forward,"6'5"" - 6'11""",25-29,Undrafted,Domestic,All_Star_No,Dallas Mavericks
McKinley Wright IV,Guard,Under 6',18-24,Undrafted,Domestic,All_Star_No,Dallas Mavericks
Ivica Zubac,Center,7' and Over,25-29,Round 2,International,All_Star_No,Los Angeles Clippers
