Name,Position,Height,Age,Draft,Nationality,All_Star,Team
Ben Simmons,Forward,"6'5"" - 6'11""",25-29,Round 1,International,All_Star_No,Brooklyn Nets
Kobi Simmons,Guard,"6' - 6'5""",25-29,Undrafted,Domestic,All_Star_No,Charlotte Hornets
Marko Simonovic,Center,7' and Over,18-24,Round 2,International,All_Star_No,Chicago Bulls
Jericho Sims,Center,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,New York Knicks
Marcus Smart,Guard,"6' - 6'5""",25-29,Round 1,Domestic,All_Star_No,Boston Celtics
Dennis Smith,Guard,"6' - 6'5""",25-29,Round 1,Domestic,All_Star_No,Charlotte Hornets
Dru Smith,Guard,"6' - 6'5""",25-29,Undrafted,Domestic,All_Star_No,Brooklyn Nets
Jalen Smith,Center,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Indiana Pacers
Xavier Sneed,Forward,"6' - 6'5""",25-29,Undrafted,Domestic,All_Star_No,Charlotte Hornets
Jaden Springer,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Philadelphia Sixers
Lamar Stevens,Forward,"6'5"" - 6'11""",25-29,Undrafted,Domestic,All_Star_No,Cleveland Cavaliers
Isaiah Stewart II,Center,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Detroit Pistons
Max Strus,Guard,"6' - 6'5""",25-29,Undrafted,Domestic,All_Star_No,Miami Heat
Jalen Suggs,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Orlando Magic
Edmond Sumner,Guard,"6' - 6'5""",25-29,Round 2,Domestic,All_Star_No,Brooklyn Nets
Jayson Tatum,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_Yes,Boston Celtics
Terry Taylor,Guard,"6' - 6'5""",18-24,Undrafted,Domestic,All_Star_No,Chicago Bulls
Dalen Terry,Guard,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Chicago Bulls
Daniel Theis,Center,"6'5"" - 6'11""",30-34,Undrafted,International,All_Star_No,Indiana Pacers
Cam Thomas,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Brooklyn Nets
J.T. Thor,Forward,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Charlotte Hornets
Isaiah Todd,Forward,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Washington Wizards
Obi Toppin,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,New York Knicks
"Gary Trent, Jr.",Guard,"6' - 6'5""",18-24,Round 2,Domestic,All_Star_No,Toronto Raptors
P.J. Tucker,Forward,"6'5"" - 6'11""",35+,Round 2,Domestic,All_Star_No,Philadelphia Sixers
Myles Turner,Center,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,Indiana Pacers
Fred VanVleet,Guard,"6' - 6'5""",25-29,Undrafted,Domestic,All_Star_No,Toronto Raptors
Gabe Vincent,Guard,"6' - 6'5""",25-29,Undrafted,Domestic,All_Star_No,Miami Heat
Nikola Vucevic,Forward,"6'5"" - 6'11""",30-34,Round 1,International,All_Star_No,Chicago Bulls
Dean Wade,Forward,"6'5"" - 6'11""",25-29,Undrafted,Domestic,All_Star_No,Cleveland Cavaliers
Franz Wagner,Forward,"6'5"" - 6'11""",18-24,Round 1,International,All_Star_No,Orlando Magic
Moe Wagner,Forward,"6'5"" - 6'11""",25-29,Round 1,International,All_Star_No,Orlando Magic
"Duane Washington, Jr.",Guard,"6' - 6'5""",18-24,Undrafted,Domestic,All_Star_No,New York Knicks
P.J. Washington,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Charlotte Hornets
Yuta Watanabe,Forward,"6'5"" - 6'11""",25-29,Undrafted,International,All_Star_No,Brooklyn Nets
Coby White,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Chicago Bulls
Derrick White,Guard,"6' - 6'5""",25-29,Round 1,Domestic,All_Star_No,Boston Celtics
Joe Wieskamp,Forward,"6'5"" - 6'11""",18-24,Round 2,Domestic,All_Star_No,Toronto Raptors
Lindell Wigginton,Guard,"6' - 6'5""",25-29,Undrafted,International,All_Star_No,Milwaukee Bucks
Donovan Williams,Forward,"6'5"" - 6'11""",18-24,Undrafted,Domestic,All_Star_No,Atlanta Hawks
Grant Williams,Forward,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Boston Celtics
Mark Williams,Center,7' and Over,18-24,Round 1,Domestic,All_Star_No,Charlotte Hornets
Patrick Williams,Guard,"6'5"" - 6'11""",18-24,Round 1,Domestic,All_Star_No,Chicago Bulls
Robert Williams,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,Boston Celtics
Dylan Windler,Forward,"6'5"" - 6'11""",25-29,Round 1,Domestic,All_Star_No,Cleveland Cavaliers
James Wiseman,Center,7' and Over,18-24,Round 1,Domestic,All_Star_No,Detroit Pistons
Delon Wright,Guard,"6' - 6'5""",30-34,Round 1,Domestic,All_Star_No,Washington Wizards
Gabe York,Guard,"6' - 6'5""",25-29,Undrafted,Domestic,All_Star_No,Indiana Pacers
Thaddeus Young,Forward,"6'5"" - 6'11""",30-34,Round 1,Domestic,All_Star_No,Toronto Raptors
Trae Young,Guard,"6' - 6'5""",18-24,Round 1,Domestic,All_Star_No,Atlanta Hawks
Omer Yurtseven,Center,"6'5"" - 6'11""",18-24,Undrafted,International,All_Star_No,Miami Heat
Cody Zeller,Forward,"6'5"" - 6'11""",30-34,Round 1,Domestic,All_Star_No,Miami Heat
